领域,MCP名称,知识库构建来源,代表博主（小红书号）,关键词,主页链接,推荐输入,推荐输出,推荐Query1,推荐Query2,推荐Query3,推荐Query4,推荐Query5,推荐Query6,推荐Query7,推荐Query8,推荐Query9,推荐Query10,开发价值,
,唱歌音准训练MCP,"唱吧、全民 K 歌（音准评分逻辑参考）；
小红书 / 抖音 正规声乐博主、专业声乐老师（生活化、高频问题、简单训练法）；
中央音乐学院 公开课 / 官方科普（音准、音阶、乐理、视唱练耳标准理论）",Vv15845552469；曲不曲,多种曲风教学,https://www.xiaohongshu.com/user/profile/641ef9b60000000012010ec8?xsec_token=YBb2xJk-p5xKqf0qv2uj_kEA4drG0C2ORhVcILZteHah4=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773212636&share_id=af2e550750a0400c992bedeae2f42739,"多模态输入
文本：描述问题、音准情况、音域、唱法、歌曲名
音频：用户清唱片段（用于判断音准、跑调、音高）
语音：用户直接语音唱歌、提问
文本信息
水平：零基础、完全跑调、KTV 新手、有点音准、想进阶
问题：唱歌跑调、听不出音高、高音上不去、低音下不来、跟不上调、不会找调、五音不全
需求：音准训练、音阶练习、听辨音高、节奏训练、简单歌曲跟练、气息辅助音准
场景：日常练习、KTV、短视频唱歌、学生兴趣","音准问题诊断（跑调类型：听不准 / 唱不准 / 气息不稳 / 音域不够）
适合用户的每日音准训练计划（5/10/15 分钟）
基础音阶练习：do-re-mi-fa-so-la-si-do 练习方法
简单练声曲、咬字、气息配合技巧
听音辨音小练习（不用乐器也能练）
1～2 首适合练音准的简单歌曲 + 跟练要点
常见错误纠正 + 长期提升建议",我唱歌总是跑调，怎么训练音准,五音不全零基础，每天怎么练音准,帮我听一下我唱得准不准（音频输入）,简单的音阶练声方法，每天 10 分钟,如何训练听音辨音，提高音感,唱歌跟不上调、找不到调怎么办,有哪些适合练音准的简单歌曲,气息不稳影响音准，怎么改善,KTV 想不跑调，最实用的音准技巧,每天坚持什么练习能快速提高音准,强兴趣需求、多模态天然适配、互动性强、留存高、可高频练习、年轻用户喜爱、付费潜力大,
,拍照构图MCP,"蜂鸟网（系统构图知识、专业术语、通用规则）；
小红书 / 抖音 摄影博主（当下最流行、用户最常问的内容）；
Canon、Nikon、Sony 入门教程、华为 / 苹果 / 小米 / OPPO 官方拍照教程（科学、官方、无误导、最安全）",2972267992；Shelly雪丽,美食构图,https://www.xiaohongshu.com/user/profile/62cfe26f00000000020005c8?xsec_token=YB6Y6cTXyWCh8je7QL49d27V1kCCmnKMxNFWnQ-em6FXU=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773212874&share_id=db93c789d25d4383a1763e5048c8172c,"拍摄对象：人像、自拍、全身照、半身照、风景、美食、静物、宠物、街拍、产品
场景：室内、室外、旅行、日常、宿舍、卧室、逆光、阴天、夜晚、探店
人群 / 身材：小个子、微胖、圆脸、方脸、梨形、高个子
风格：氛围感、清冷、日系、韩系、复古、极简、高级感、治愈
痛点：不会摆姿势、拍出来显胖、画面杂乱、不会找角度、拍糊、没层次
可输入图片：用户上传自己拍的照片，AI 点评构图问题并修改建议","拍摄场景 & 风格定位
推荐构图方法（文字 + 通俗解释）
具体拍摄角度、距离、站位
光线与背景小技巧
避坑：常见错误构图
简单可复制的姿势 / 布局",手机拍照有哪些最简单的构图技巧？,人像拍照怎么构图显高显瘦？,旅行风景照怎么拍才有高级感？,美食拍照最简单好看的构图方法,我这张照片构图哪里不好，怎么改？,小个子全身照构图与角度技巧,室内氛围感照片如何构图？,什么是三分法构图？怎么用手机拍？,街拍随手拍，怎样构图不杂乱？,静物 / 产品拍照，干净高级构图教程,高频刚需、上手极快、女性用户喜爱、实用性强、留存高、多模态适配,
,,,WongStudio2021；Wong_阿黄,人像构图,https://www.xiaohongshu.com/user/profile/5b854d6446306100014be621?xsec_token=YBg8_pjXo8YiUGaTmHd5c8tFh52pRtu1x7076oW8th8XE=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773213022&share_id=fc6d18a1003944168673a10c412cb7ce,,,,,,,,,,,,,,
,文物鉴别 MCP,"博物馆官网藏品库
短视频切片：听泉鉴宝直播话术、黑话、典型案例；
华夏收藏网、博宝论坛等专业社区",11672463523；听泉鉴宝,娱乐化鉴宝,https://www.xiaohongshu.com/user/profile/6646cf71000000000303337b?xsec_token=YB48J4iRv9Dbb_vvk43cJAwiVD9-TZr0TZ6MHN2lzj2PY=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773302731&share_id=4ac98d2b6f0a410fb18401649b194853,"藏品图片 / 描述
品类：钱币 / 瓷器 / 玉器 / 铜器 / 书画 / 杂项
拍摄视角：正面 / 细节 / 底款 / 边齿
需求：断代 / 辨伪 / 估价 / 评语","品类
年代
真伪结论
关键依据
市场估价",鉴定这枚古钱币真伪并估价,看这件瓷器是新还是老,这块玉是不是和田玉,这个铜炉是老的吗,帮我看这幅字画开门吗,这枚银元是真的还是假的,看底款断代并给评语,这个手串是什么材质,这件摆件是工艺品还是古董,用听泉风格鉴定这件东西,文玩 AI 助手、娱乐鉴宝交互、藏品快速初筛、知识科普工具,
投资理财,投资理财综合MCP,"六大国有银行 + 全国性股份制银行官方公众号、官网（银行存款、大额存单、稳健理财常识、银行理财风险等级）；
正规持牌基金公司、保险公司官方科普内容（基金、保险基础常识）；
中国人民银行官网（金融基础常识、利率知识、征信科普、存款政策、反诈骗、虚拟货币监管提示）",26534272341；婷宝在理财,打工人理财,https://www.xiaohongshu.com/user/profile/612c6751000000000100b7d0?xsec_token=YBLJZzXODRTiahPwRvdfwmd1E6t4ryy3CCtflMu-JoqiM=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773213184&share_id=2d194ea6f296405aa720d4d95c06e3ac,"人群：学生、上班族、已婚家庭、单身、中年人、老年人、理财小白
场景与需求：
理财理念：长期投资、价值投资、复利思维、稳健理财
现金流：个人 / 家庭收支管理、储蓄习惯、月光改善
低风险产品：银行存款、大额存单、国债、逆回购、债券基金、货币基金对比
风险科普：股票、基金风险等级、波动原理、亏损原因、避雷
资产配置：家庭钱怎么分配、备用金、保险、投资、消费比例
养老规划：长期养老存钱计划、稳健养老方式、提前准备
防诈骗：杀猪盘、刷单、高收益投资、虚假理财、传销式金融骗局识别
限制：风险承受能力、本金安全、可投入金额、投资期限","个人 / 家庭财务状况定位
可执行理财方案
产品对比与选择建议（只科普、不荐股、不具体推荐某只产品）
资产配置比例模板
风险提示与合规边界
防诈骗识别要点
长期坚持计划与心态管理",小白如何建立正确的长期投资理念,个人与家庭现金流管理怎么做才不会月光,国债和银行存款哪个更安全、收益更高,低风险理财有哪些，适合普通人的稳健方式,股票和股票型基金有什么风险，新手要注意什么,普通家庭资产配置怎么分配最合理,如何从现在开始做长期养老规划,常见金融投资诈骗有哪些，怎么防范,每月只有几百元可以怎么开始理财,复利思维在普通人长期存钱中怎么应用,全民刚需、强留存、高实用、合规性强、覆盖全年龄段、长期使用、教育价值高,
,,,1072488485；7分钟罗元裳,理财技巧,https://www.xiaohongshu.com/user/profile/5fbb58ed00000000010027d7?xsec_token=YBe1t9Cx1WLq3uxfCl6iH79Tr4RehrF3oArMA0OOGGGWA=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773213287&share_id=93376dcc0d2f492ea39d00b0743e743b,,,,,,,,,,,,,,
情感心理,心理陪伴MCP,"知乎（认证心理咨询师、医院账号、专业机构回答）；
小红书（温和疗愈、放松技巧、情绪安抚、自我关怀；
北京大学第六医院公众号（科学情绪知识、放松方法、误区辟谣、风险识别）；
国家心理健康和精神卫生防治中心官网（标准定义、科普知识、安全方法、危机干预指引）",6116877934；哈比💛情感困惑｜主播套路,亲密关系、原生家庭,https://www.xiaohongshu.com/user/profile/63f1c561000000001001ccf3?xsec_token=YBxlz0DOEqpnZ0xzRpqKoz_Uqnml8zGaohN_73HTgfnts=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773214291&share_id=fbae39a939d040b193302349002eb357,"用户状态与人群
情绪：焦虑、内耗、自卑、孤独、低落、迷茫、压力大、失眠胡思乱想
性格：讨好型、敏感、社恐、内向、缺爱、玻璃心、过度在意别人看法
经历：原生家庭创伤、情感伤害、自我否定、长期压抑、人际关系内耗
功能与需求
自我接纳与疗愈：自我和解、停止自我攻击、自愈练习
讨好型人格修复：学会拒绝、建立边界、不再委屈自己
原生家庭和解：走出童年影响、与父母和解、独立人格
独处幸福感：不怕孤独、一个人也快乐、内心自足
焦虑情绪缓解：快速平复、停止胡思乱想、放松方法
安全感提升：不依赖他人、精神独立、内心稳定
自信建立：提升气场、摆脱自卑、敢表达、敢拒绝
高情商话术：沟通、表达需求、委婉拒绝、得体回应、不伤人不得罪
情绪管理：不崩溃、不内耗、不敏感、不情绪化
偏好
文字疗愈、心理小练习、冥想引导、日常习惯、话术模板、认知调整","当下心理状态简要梳理
核心问题根源（温和解读，不刺激）
认知纠正：打破错误思维
可立即执行的疗愈 / 练习方法
高情商可复制话术（如适用）
日常长期成长建议
安全边界与避雷：停止内耗行为",我总是自我否定、内耗严重，如何做到自我接纳与疗愈,讨好型人格活得太累，怎样不再讨好、建立边界,原生家庭带来的自卑和缺爱，该怎么慢慢自愈,害怕独处、一安静就焦虑，如何提升独处幸福感,长期自我否定，怎样慢慢接纳自己,很自卑不喜欢自己，如何真正爱自己,总是苛责自己，怎么停止自我攻击,很自卑不敢表达，怎样一步步建立自信和底气,总是情绪崩溃、精神内耗，最简单的修复方法是什么,怎样真正接纳自己的所有情绪和缺点,强需求、高粘性、治愈向、停留时长高、全年龄段适用、复询极高、无合规风险、用户心智强,
,,,fazer1995；治愈果（kakki在说啥）,情绪稳定、焦虑自救,https://www.xiaohongshu.com/user/profile/54e6b8c3d39ea20e6b58e266?xsec_token=YBA5e6cUonjwxF06jXqkUgU2CIJdoG7Hqc5LQOL0aFmBo=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773224300&share_id=b42b4560eb5c440481514473f8316793,,,,,,,,,,,,,,
,异地恋维护MCP,"小红书（异地恋真实相处经验、吵架和好案例、常见误区避坑、长期维系干货）；
B 站正规心理博主、情感科普 UP 主（异地恋沟通技巧、误区解析、心态调整、吵架应对
特点：可视化讲解，可拆解文字版知识点，通俗易懂）",Asriel1103;Muchen的情感小专栏,异地恋经验、恋爱技巧,https://www.xiaohongshu.com/user/profile/65e05116000000000500d374?xsec_token=YBJOl2L_RjKoXTbKMvbvM2ngD0GiieqXfN7ast76qR-To=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773213872&share_id=3069056f55224273bd4aeb00f4573118,"恋爱阶段：刚异地、异地半年、异地多年、即将结束异地、冷战期
核心问题：
缺少安全感、多疑、患得患失
聊天变少、话题枯竭、无话可说
经常吵架、冷战、互相不理解
见面少、距离远、未来不确定
信任危机、猜忌、查岗、控制欲
情绪得不到安抚、孤独委屈
场景需求：
异地高情商聊天话术
吵架 / 冷战修复方法
仪式感、共同小事、增进感情
见面规划、未来安排
信任重建、边界感、异性社交
输入形式：文字描述矛盾经过、情绪状态、诉求。","关系现状与矛盾根源分析
安全感 & 信任重建思路
可直接复制的沟通 / 道歉 / 哄人话术
异地专属相处规则（聊天频率、见面计划、边界感）
不枯燥的异地恋互动方式
吵架避雷、避免冷战技巧
长期稳定走下去的长期建议",恋爱中如何掌握异地恋相处的技巧,恋爱中如何异地恋沟通,异地恋有什么需要避雷的,异地的时间怎么安排,异地恋见面少、长期不见面该怎么坚持,焦虑为什么要异地,异地恋每天该怎么聊天才不尴尬,异地恋长久走下去的关键是什么,异地的成长路径,异地的技巧有哪些,情感强刚需、用户粘性高、痛点明确、治愈陪伴、复询率高、易标准化,
,,,Emily2275114977;小杨在恋爱,异地沟通,https://www.xiaohongshu.com/user/profile/65d59999000000000b032247?xsec_token=YBunROjPny0poKk9Pr16qUCt9UFY9xysNt4yW9EvWC_KY=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773214218&share_id=318bbf43466c4a69b64341458a24b980,,,,,,,,,,,,,,
,分手情绪疏导MCP,"B 站（正规心理 UP 主讲失恋、情绪修复）；
红书（自愈、成长、放下、爱自己、情绪疏导）；
清华、北大、北师大心理中心公开科普（情绪崩溃、焦虑、失眠、自我否定的科学缓解）",2551930101；40岁断崖式分手的童叔,断崖式分手自救,https://www.xiaohongshu.com/user/profile/65aab355000000001300b16a?xsec_token=YBUo19AmMT4fJ9DYkZLHzYB0KdLgkJn-1okki7hp-7elk=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773224425&share_id=2e5ad5c076ef4e288a5761050cb1e7e9,"用户状态
分手阶段：刚分手、被分手、主动提分手、分手很久仍走不出、反复拉扯
情绪：崩溃大哭、失眠、心慌、不甘心、自责、后悔、想复合、反复回忆、嫉妒、空虚、自我怀疑
行为：视奸对方、忍不住想联系、酗酒熬夜、无心工作学习、情绪反复
需求场景
情绪急救：快速不哭、不崩溃、缓解心痛
失眠疏导：睡前平复、停止胡思乱想
放下执念：不再想对方、戒掉依赖
自我重建：找回自己、恢复生活、重建自信
避免视奸 / 忍不住联系：克制冲动方法
判断是否该复合、是否值得回头","情绪状态共情与接纳（不指责、不灌鸡汤）
痛苦根源简单解读（执念 / 习惯 / 不甘 / 爱）
当下紧急疏导方法（5～10 分钟平复情绪）
失眠、心慌、想哭时的具体缓解动作
断联 / 克制联系的心理技巧
每日自愈小步骤（吃饭、作息、社交、转移）
认知清醒：客观看待关系、值不值得、未来现实
长期走出失恋、重建自我的节奏计划",分手怎么走出来？求详细教程和注意事项,刚分手心里特别难受，怎么走出来,分手后一直放不下，总是想他怎么办,被分手了很自卑，觉得自己很差劲,分手后失眠、想哭、情绪崩溃怎么缓解,分手后反复内耗、胡思乱想该怎么停止,明明很爱却不得不分手，心里很痛,明明很爱却不得不分手，心里很痛,分手后不甘心、意难平怎么平复,分手很久还是走不出来，该怎么治愈自己,强情感刚需、共情粘性极高、用户停留久、痛点极致、复询高、陪伴属性强,
,婚姻相处技巧MCP,"央视财经、人民日报生活板块、中国妇女报（正向婚姻观、平等相处、家庭责任共担、反婚恋陋习）；
知乎（婚姻真实相处案例、常见问题解决方案、误区避雷、沟通技巧实战）",645358187；暖相守文化,婚姻家庭治疗师,https://www.xiaohongshu.com/user/profile/5d02601a0000000016034e0c?xsec_token=YB0qdHzuK2bvwtmBwuGtSzXn9eixtTxtf4X_Dso_T_aoY=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773224536&share_id=caf2e5af8136436b8be3290b2a31a26b,"婚姻阶段：新婚、备孕、孕期、育儿期、中年婚姻、长期平淡期
核心问题：
沟通不畅、无话可说、经常冷战吵架
婆媳关系、家庭边界、育儿观念不合
缺乏仪式感、感情变淡、新鲜感消失
信任问题、安全感不足、情绪忽视
金钱消费观不合、家务分配不公
异地婚姻、丧偶式婚姻、陪伴缺失
需求场景：
高情商沟通话术、好好说话不伤人
吵架修复、道歉和解、避免翻旧账
家务分工、金钱管理、家庭共识
边界感建立（原生家庭、异性社交）
平淡婚姻重拾甜蜜、长期保鲜
情绪稳定、互相理解、减少内耗","关系问题与根源简要分析
核心相处原则（尊重、边界、情绪、责任）
可直接复制的沟通 / 道歉 / 表达需求话术
矛盾化解方法：不冷战、不指责、不翻旧账
家务、金钱、育儿、婆媳实际分工方案
日常保鲜小习惯、仪式感、陪伴方式
避雷禁区：婚姻最伤感情的行为
长期稳定幸福的相处模式建议",结婚后感情越来越淡，该怎么维护婚姻,夫妻总是因为小事吵架，如何好好沟通,婚姻里没有新鲜感，怎么保持甜蜜,婚后无话可说，怎样增加共同话题,老公 / 老婆不体谅人，应该怎么相处,婚姻的意义是什么,婚姻中出现矛盾，怎么正确解决不冷战,婚姻应该保持什么心态,婚姻的成长路径,婚后忽略对方，怎样重新重视彼此,家庭刚需、受众极广、痛点真实、留存高、陪伴性强、实用性拉满,
学习提升,学习自律MCP,"B 站 / 小红书的自律打卡、逆袭故事、复盘经验分享；
知乎：“自律”“学习方法”“时间管理” 高赞回答与专栏；
",26206682110；清华Emma学姐,文学、学习技巧,https://www.xiaohongshu.com/user/profile/67886578000000000801abf5?xsec_token=YBx34Qb6DXbarlpclHdGng-MSYj-z3yKE20JRCyVGO1x8=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773224628&share_id=04fd3c3a8a5244488677d980874568b0,"身份与阶段
学生：小学、初中、高中、大学、期末冲刺、零基础
备考：考研、考公、四六级、证书考试、行测申论
技能：编程、外语、速读速记、读书笔记、错题整理
场景与需求
期末突击：短期提分、重点梳理、熬夜急救
读书笔记：阅读方法、思维导图、输出笔记、高效吸收
错题复盘：错题本逻辑、同类题归纳、不再二次错
自律习惯：戒掉拖延、早起、专注、时间规划
语言学习：单词记忆、听力、口语、语法、长期节奏
速读速记：快速阅读、背书技巧、短时记忆
编程入门：零基础路线、工具、练手项目、避坑
考公行测：题型技巧、刷题方法、时间分配
四六级：听力、阅读、写作模板、备考计划
考研规划：全程阶段、专业课、公共课、作息安排","当前水平 & 目标定位
核心问题诊断（拖延、方法错、效率低）
可执行计划（日计划 / 周计划 / 阶段计划）
具体方法步骤（模板、套路、口诀、技巧）
避坑：常见低效学习误区
坚持动力与自律小技巧",期末考试只剩几天，如何高效突击快速提分？,正确的读书笔记怎么做才能真正记住？,错题复盘有什么科学方法，不再重复犯错？,总是拖延不自律，怎样养成长期学习习惯？,零基础如何开始自学编程，不走弯路？,英语单词记不住，有什么高效速记方法？,四六级怎么备考最省力，一次通过？,考公行测不会提速，有哪些蒙题和解题技巧？,如何训练速读速记，看书背书更快？,零基础考研，完整全年规划怎么做？,全民刚需、强实用、高留存、学生 + 职场全覆盖、复询极高、易标准化,
,,,"Soen0606；
哆啦梦同学🎨",大学生学习方法,https://www.xiaohongshu.com/user/profile/598762485e87e743e3bd34db?xsec_token=YBCMrmJjbtomoEAUMacti0l_3vfu1zQuPab4daMW3WMfM=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773224782&share_id=cec4de98f1e9463ca9d348df0975ff88,,,,,,,,,,,,,,
法律常识,消费者维权MCP,"核心法律（《民法典》合同编、侵权责任编、《中华人民共和国消费者权益保护法》）；
12315 平台规则、投诉须知、受理范围（维权全流程）；
中国裁判文书网（权威案例与裁判来源）；
淘宝、京东、拼多多、抖音电商售后规则（行业规则与平台规则）",,,,"消费场景
网购、直播带货、外卖、线下门店、微商、二手平台
快递丢失 / 破损、生鲜变质、虚假宣传、货不对板
预付卡 / 会员卡跑路、健身房 / 教育机构不退款
售后拒退、拒换、拒修、过度扣费、隐形消费、霸王条款
需求类型
退货、退款、换货、补发、赔偿、道歉
维权渠道：平台投诉、12315、12345、黑猫投诉
维权话术、举证方法、协商流程、投诉文案
合同 / 订单 / 小票 / 聊天记录举证指导
身份：普通消费者、学生、上班族、老人、商家纠纷","维权事实与责任判定（谁的问题）
可主张的合法权益（退款 / 换货 / 赔偿等）
最简维权步骤（从协商→投诉→升级）
可直接复制的协商 / 投诉话术
所需证据清单与收集方法
官方投诉渠道与使用方式
避雷：无效做法与过激风险",网购货不对板，商家不给退货退款怎么维权,快递丢失 / 破损，快递公司不赔偿怎么办,办理预付卡后商家跑路，如何追回钱款,外卖食品变质发霉，合法维权能要多少赔偿,被虚假宣传误导消费，怎么投诉退款,商家有霸王条款、强制消费如何维权,12315 投诉流程是什么，怎么写投诉内容,直播间买东西被骗、质量差怎么维权,维权需要哪些证据,商家拒绝售后、态度恶劣该怎么处理,全民刚需、高频痛点、实用性极强、合规安全、用户粘性高、社会价值强,
,民生法律知识科普MCP,"核心法律（《民法典》、《中华人民共和国消费者权益保护法》、《道路交通安全法》）；
中国法律服务网、12348 法网；
中国裁判文书网公开裁判文书（典型案例与裁判来源）","205521659；
闺蜜刘律刘华媚",民事诉讼纠纷,https://www.xiaohongshu.com/user/profile/5cbb4ef9000000001703a408?xsec_token=YBbC224Nsbd7OHFtcFwkmE1i1PniVb19ZFIi4hhyZ-9EE=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773224036&share_id=0e1f66e6a5ed48c1a17ee2fca091ae7d,"交通事故：出险流程、拍照取证、责任认定、保险理赔、私了 / 报警判断、追尾 / 剐蹭处理
个人信息保护：骚扰电话、短信泄露、APP 过度索权、人脸信息、快递信息、被倒卖、被骚扰
劳动合同：入职合同、试用期、社保五险一金、辞退赔偿、不签合同、加班、扣工资、离职流程
网贷负债：高利贷、砍头息、暴力催收、征信影响、合法利率、停止催收、协商还款
其他民生：租房合同、押金不退、劳动仲裁、防诈骗、个人隐私保护
用户状态
正在遭遇事故 / 被辞退 / 被催收 / 信息泄露 / 被骗
即将入职、租房、贷款、买车、买保险
零基础法律小白，需要简单步骤 + 话术","场景与风险定位
简明法律依据（通俗版，不晦涩）
一步一步实操流程（可直接照做）
必备证据清单 & 保存方法
可复制沟通 / 投诉 / 报案话术
官方渠道：110、12345、12315、劳动仲裁、法院起诉指引
禁区：绝对不能做的事、常见陷阱
维权成本与成功率简单判断",发生交通事故第一时间该做什么？完整处理流程,被追尾 / 剐蹭，如何拍照取证、走保险、不被坑,个人信息泄露被骚扰，怎么保护自己、停止泄露,APP 过度索要权限，如何合法保护个人隐私,入职不签劳动合同、不交社保，公司违法吗？怎么维权,被公司无故辞退、扣工资，能要多少赔偿,试用期被辞退、不给工资，合法吗？该怎么办,网贷暴力催收、爆通讯录，如何合法停止、保护自己,怎么判断网贷是不是高利贷、砍头息？,离职时公司不让走、扣押金，正确处理方法,全民刚需、安全感强、实用性极高、合规可控、用户粘性极强、社会价值高、留存高,
,,,11412396491；热心王律,案例科普,https://www.xiaohongshu.com/user/profile/66558e4c000000000d025ead?xsec_token=YB-DoCBYyQSbyjayDxW-NXuQONwU7qwPNWWbX_DIgoSm4=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773224157&share_id=f7895c1fdfe44568a12677be65e9639d,,,,,,,,,,,,,,
,,,666010791；壹格律师,法律解析,https://www.xiaohongshu.com/user/profile/5e3ff0c80000000001007d2b?xsec_token=YBfbP09alnwQpRIsUEspjZO7Yru2ksbMEx3C3ox_HzM_w=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773224991&share_id=fdf53c781e3d4e4ba7bbe534bb3d81d5,,,,,,,,,,,,,,
汽车出行,汽车综合知识MCP,"各品牌官网配置、说明书、保养手册；
工信部机动车产品公告；
中国保险行业协会《机动车交通事故责任强制保险条款》等法律条款",263451219；汽车萌主,汽车知识、避坑指南,https://www.xiaohongshu.com/user/profile/58da8b8f50c4b415732c13bc?xsec_token=YBOhnXn8N8NWRFjMF322OmPIE8txZ3tSYqAvlwpzoZ-YE=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773225150&share_id=da0b540bd1074f2992ce0b7e350a18cb,"场景与需求
选车攻略：家用 / 代步 / 省油 / SUV / 轿车、预算范围、新手第一辆车、油车电车混动对比
车险选择：交强险、三者险、车损险、不计免赔，怎么买最划算、不被坑
开车技巧：新手上路、倒车入库、侧方停车、高速安全、雨天雾天、省油技巧
汽车故障灯：仪表盘各种故障图标含义、红灯黄灯分别该怎么办
保养常识：首保、常规保养项目、周期、费用、4S 店避坑、哪些项目没必要做
用户信息
身份：纯新手司机、女司机、学生、上班族、家用车主
预算、用车场景、城市代步 / 长途 / 家用","需求与场景定位
直白结论 + 建议（不专业黑话）
分步实操步骤 / 选购方案
避坑要点（4S 店、保险、保养套路）
关键图标 / 项目图解式解释
省钱、安全、实用小技巧",新手第一辆车怎么选？油车、电车、混动哪个适合家用,2025 车险怎么买最划算？哪些必买，哪些可以不买,新车第一次保养要做什么，首保免费注意什么,仪表盘上各种故障灯亮了分别是什么意思,新手开车上路最实用的安全驾驶技巧,倒车入库、侧方停车最简单易懂的方法,汽车常规保养有哪些项目？多少公里保养一次,4S 店保养最常忽悠人的项目，哪些没必要做,高速开车有哪些禁忌和安全注意事项,电车和油车日常使用成本对比，哪个更省钱,全民刚需、男性女性全覆盖、实用性极强、留存高、高频查询、内容极易标准化,
,,,LR_mcsz;美少女车管所所长,买车,https://www.xiaohongshu.com/user/profile/56343b9703eb84067efaf542?xsec_token=YBSSbpAQ1p1HiyuyRtnhRoTIFfZWg1Sqpm5dB---28_Ss=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773225676&share_id=a998bfc297834cea87dc05de6708c675,,,,,,,,,,,,,,
文艺创作,文案创作MCP,"国家市场监督管理总局（广告监管司）（商业文案合规性）；
公众号 / 小红书 / 抖音 10W + 爆文标题、文案结构；
淘宝 / 京东 / 拼多多高转化详情页、卖点文案",6703348434；房琪kiki,旅行文案,https://www.xiaohongshu.com/user/profile/5bf9ff7e999837000189d106?xsec_token=YBoRAbh8tpzG47wlgyLYCrR6ZYqY1sNy2ndMhYp1ao2ic=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773225751&share_id=33952c3d79944bf9859a98c998de0295,"使用场景
朋友圈、小红书、抖音、微博、头像签名、私信表白
商业：产品文案、宣传语、标题、口号、简介、店铺文案
节日生日：生日、新年、中秋、圣诞、婚礼、升学、乔迁、慰问
职场：工作总结标题、活动文案、通知文案、海报文案
情感：治愈、清醒、励志、温柔、伤感、释怀、暗恋
风格要求
高级、简约、治愈、文艺、沙雕、搞笑、古风、清冷、温柔、小众、高级感
限制条件
字数、长短句、是否押韵、是否带符号、是否文艺不矫情。","文案定位（场景 + 风格 + 情绪）
多版本成品文案（3～5 条，可直接复制）
适用配图 / 发布建议
可替换关键词（方便灵活修改）",写一组高级干净的旅行朋友圈文案,创作一段适合深夜发的治愈系文案,旅行朋友圈高级干净文案,生日文案，低调有质感不矫情,给朋友的生日走心祝福语,打工人搞笑摆烂文案,新年简短高级不土的祝福语,适合考试、上岸的励志文案,小众不烂大街的个性签名,励志自律、提升自己的文案,使用频次极高、全年龄段通用、轻量化、易标准化、用户留存与粘性极强。,
,,,9959677974；再吃半颗橙子_,情绪文案,https://www.xiaohongshu.com/user/profile/64dd68d8000000000100d398?xsec_token=YBWXgy5FKa_LagmpMCjbKSM692_1svyGXQh5ax0R-SSyk=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773225831&share_id=4d9799386f924495953ad0697203939a,,,,,,,,,,,,,,
